Guest_ID,First_Name,MI,Last_Name,Amount_Due,Payment_Type,Phone_Number,Email_Address,Address
G001,John,A,Smith,0.00,Card,214-555-0101,john.smith@email.com,"123 Main St, Dallas, TX 75201"
G002,Sarah,B,Johnson,150.00,Card,214-555-0102,sarah.j@email.com,"456 Oak Ave, Plano, TX 75024"
G003,Michael,C,Williams,0.00,Cash,214-555-0103,m.williams@email.com,"789 Elm St, McKinney, TX 75070"
G004,Emily,D,Brown,225.00,Card,214-555-0104,emily.brown@email.com,"321 Pine Rd, Frisco, TX 75034"
G005,David,E,Jones,0.00,Check,214-555-0105,david.jones@email.com,"654 Maple Dr, Allen, TX 75013"
G006,Jessica,F,Garcia,175.00,Card,214-555-0106,j.garcia@email.com,"987 Cedar Ln, Richardson, TX 75080"
G007,Daniel,G,Martinez,0.00,Card,214-555-0107,dan.martinez@email.com,"147 Birch Ct, Carrollton, TX 75006"
G008,Ashley,H,Rodriguez,300.00,Card,214-555-0108,ashley.r@email.com,"258 Willow Way, Lewisville, TX 75067"
G009,Christopher,I,Davis,0.00,Cash,214-555-0109,chris.davis@email.com,"369 Spruce St, Denton, TX 76201"
G010,Amanda,J,Miller,125.00,Card,214-555-0110,amanda.m@email.com,"741 Oakwood Dr, Flower Mound, TX 75028"
G011,Matthew,K,Wilson,0.00,Card,214-555-0111,matt.wilson@email.com,"852 Pinewood Ave, Grapevine, TX 76051"
G012,Jennifer,L,Moore,200.00,Check,214-555-0112,jen.moore@email.com,"963 Elmwood Rd, Irving, TX 75038"
G013,Joshua,M,Taylor,0.00,Card,214-555-0113,josh.taylor@email.com,"159 Maplewood Ln, Grand Prairie, TX 75050"
G014,Melissa,N,Anderson,175.00,Card,214-555-0114,melissa.a@email.com,"357 Cedarwood Ct, Arlington, TX 76010"
G015,Andrew,O,Thomas,0.00,Cash,214-555-0115,andrew.t@email.com,"486 Birchwood Dr, Fort Worth, TX 76102"
G016,Stephanie,P,Jackson,250.00,Card,214-555-0116,steph.jackson@email.com,"753 Willowwood St, Mansfield, TX 76063"
G017,Ryan,Q,White,0.00,Card,214-555-0117,ryan.white@email.com,"951 Aspen Ave, Midlothian, TX 76065"
G018,Nicole,R,Harris,150.00,Card,214-555-0118,nicole.h@email.com,"246 Cypress Rd, Waxahachie, TX 75165"
G019,Kevin,S,Martin,0.00,Check,214-555-0119,kevin.martin@email.com,"135 Redwood Ln, Rockwall, TX 75087"
G020,Rachel,T,Thompson,180.00,Card,214-555-0120,rachel.t@email.com,"864 Hickory Dr, Garland, TX 75040"
G021,Brandon,U,Garcia,0.00,Card,214-555-0121,brandon.g@email.com,"975 Walnut St, Mesquite, TX 75149"
G022,Brittany,V,Martinez,200.00,Card,214-555-0122,brittany.m@email.com,"531 Chestnut Ave, Rowlett, TX 75088"
G023,Jason,W,Robinson,0.00,Cash,214-555-0123,jason.r@email.com,"642 Sycamore Rd, Wylie, TX 75098"
G024,Amber,X,Clark,175.00,Card,214-555-0124,amber.clark@email.com,"864 Magnolia Ln, Sachse, TX 75048"
G025,Justin,Y,Rodriguez,0.00,Card,214-555-0125,justin.rod@email.com,"975 Dogwood Dr, Murphy, TX 75094"
G026,Heather,Z,Lewis,225.00,Check,214-555-0126,heather.l@email.com,"123 Beechwood Ct, Lucas, TX 75002"
G027,Eric,A,Lee,0.00,Card,214-555-0127,eric.lee@email.com,"456 Ashwood St, Parker, TX 75002"
G028,Megan,B,Walker,150.00,Card,214-555-0128,megan.w@email.com,"789 Rosewood Ave, Fairview, TX 75069"
G029,Tyler,C,Hall,0.00,Cash,214-555-0129,tyler.hall@email.com,"321 Cottonwood Rd, Prosper, TX 75078"
G030,Lauren,D,Allen,200.00,Card,214-555-0130,lauren.allen@email.com,"654 Pinehurst Ln, Celina, TX 75009"
G031,Adam,E,Young,0.00,Card,214-555-0131,adam.young@email.com,"987 Oakridge Dr, Anna, TX 75409"
G032,Samantha,F,Hernandez,175.00,Card,214-555-0132,sam.hernandez@email.com,"147 Woodland Way, Melissa, TX 75454"
G033,Nathan,G,King,0.00,Check,214-555-0133,nathan.king@email.com,"258 Forest Glen, Princeton, TX 75407"
G034,Christina,H,Wright,250.00,Card,214-555-0134,christina.w@email.com,"369 River Oaks Dr, Farmersville, TX 75442"
G035,Zachary,I,Lopez,0.00,Card,214-555-0135,zach.lopez@email.com,"741 Lake View Ct, Lavon, TX 75166"
G036,Danielle,J,Hill,125.00,Cash,214-555-0136,danielle.h@email.com,"852 Valley View St, Nevada, TX 75173"
G037,Nicholas,K,Scott,0.00,Card,214-555-0137,nick.scott@email.com,"963 Mountain View Ave, Josephine, TX 75164"
G038,Kayla,L,Green,180.00,Card,214-555-0138,kayla.green@email.com,"159 Sunset Blvd, Blue Ridge, TX 75424"
G039,Alexander,M,Adams,0.00,Card,214-555-0139,alex.adams@email.com,"357 Sunrise Dr, Westminster, TX 75485"
